Time of publish ID,"Warning, incomplete?",Venue,Name,Bib,Authors,year,NLP,Small Models,Debating,Recycling,Scaling Laws,Human-Model Interaction,Efficient Pretraining Research,Resources,The Science of Deep Learning,Methods,Dataset,Training,Evaluation,Shared-task\effort,Language&Cognition,Open,Meta-science,Enabling Low Budget Research,Efficiency,Paper,Workshop-paper,"Review, Survey and Position",Other,inter\eval,open,Allowing,Efficient Evaluation
,,ACL,Global mmlu: Understanding and addressing cultural and linguistic biases in multilingual evaluation,singh2024global,"S Singh, A Romanou, C Fourrier, DI Adelani, JG Ngui, D Vila-Suero, ...",2024,1,,,,,,,1,,,1,,1,,,1,,1,,1,,,,,,,
,,SURGeLLM,The mighty torr: A benchmark for table reasoning and robustness,ashurytahan2025mightytorrbenchmarktable,"S Ashury-Tahan, Y Mai, A Gera, Y Perlitz, A Yehudai, E Bandel, ...",2025,1,,,,,,,1,,,1,,1,,,,1,,,1,1,,,,,,
,,ACL,Dove: A large-scale multi-dimensional predictions dataset towards meaningful llm evaluation,habba-etal-2025-dove,"E Habba, O Arviv, I Itzhak, Y Perlitz, E Bandel, L Choshen, ...",2025,1,,,1,,,,1,,1,1,,1,1,,1,1,1,,1,,,,,,,
,,ArXiv ,Neurips 2023 llm efficiency fine-tuning competition,saroufim2025neurips,"M Saroufim, Y Perlitz, L Choshen, L Antiga, G Bowyer, C Puhrsch, ...",2025,1,,,,,,,1,,1,,1,,1,,,1,1,1,,,,,,,,
,Need to update bib when anthology has it (currently manual,EACL,Pretraining Language Models for Diachronic Linguistic Change Discovery,fittschen2025pretraining,"E Fittschen, SX Li, T Lippincott, L Choshen, C Messner",2026,1,1,,,,,1,,,1,,1,,,1,,,,,1,,,,,,,
,,Arxiv,TextArena,guertler2025textarena,"L Guertler, B Cheng, S Yu, B Liu, L Choshen, C Tan",2025,1,,,,,,,1,,1,1,1,1,1,,1,,1,,1,,,,,,,
,,Arxiv,Can Gradient Descent Simulate Prompting?,zhang2025can,"E Zhang, L Choshen, J Andreas",2025,1,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,
,,Arxiv^,LLM Hypnosis: Exploiting User Feedback for Unauthorized Knowledge Injection to All Users,hilel2025llm,,2025,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,
,,CLOUD (IEEE),Zipnn: Lossless compression for ai models,zipnn,"M Hershcovitch, A Wood, L Choshen, G Girmonsky, R Leibovitz, O Ozeri, ...",2025,1,,,,,,,1,,,,,,,,1,,1,1,1,,,,,,,
,,ICLR,Beyond binary rewards: Training lms to reason about their uncertainty,damani2026beyond,"M Damani, I Puri, S Slocum, I Shenfeld, L Choshen, Y Kim, J Andreas",2025,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,
,,Arxiv^,CRISP: Complex Reasoning with Interpretable Step-based Plans,vetzler2025crisp,"M Vetzler, K Lazar, G Uziel, E Hirsch, A Anaby-Tavor, L Choshen",2025,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,,
,,Arxiv,How Safe is Your Safety Metric? Automatic Concatenation Tests for Metric Reliability,fandina2025safesafetymetricautomatic,"ON Fandina, L Choshen, E Farchi, G Kour, Y Perlitz, O Raz",2025,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,Need to update bib when anthology has it (currently manual,EACL,BabyBabelLM: A Multilingual Benchmark of Developmentally Plausible Training Data,jumelet2025babybabellm,"J Jumelet, A Fourtassi, A Haga, B Bunzeck, B Shandilya, D Galvan-Sosa, ...",2026,1,1,,,,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,,,,
,,ArXiv,Global piqa: Evaluating physical commonsense reasoning across 100+ languages and cultures,chang2025globalpiqaevaluatingphysical,"TA Chang, C Arnett, A Eldesokey, A Sadallah, A Kashar, A Daud, ...",2026,1,,,,,,1,1,,,1,,,1,,,,1,,1,,,,,,,
,,EMNLP,Findings of the Third BabyLM Challenge: Accelerating Language Modeling Research with Cognitively Plausible Data,charpentier-etal-2025-findings,"LGG Charpentier, L Choshen, R Cotterell, MO Gul, MY Hu, J Liu, ...",2026,1,1,,,,,1,1,,1,1,1,1,1,1,,,,1,1,1,,,,,,
,,ArXiv,A Latent Variable Framework for Scaling Laws in Large Language Models,cai2026latent,"P Cai, C Cui, FM Polo, S Somerstep, L Choshen, M Yurochkin, Y Sun, ...",2026,1,1,,,1,,1,,1,1,,1,,,,,,1,1,1,,,,,,,
,,acl,CommonLID: Re-evaluating State-of-the-Art Language Identification Performance on Web Data,suarez2026commonlid,"PO Suarez, L Burchell, C Arnett, R Mosquera, SH Monsalve, T Vaughan, ...",2026,1,,,,,,,1,,,1,1,,1,,1,,1,,1,,,,,,,
,,acl,Will it Merge? On The Causes of Model Mergeability,rahamim2026will,"A Rahamim, A Yehudai, B Carmeli, L Choshen, Y Mass, Y Belinkov",2026,1,,,1,,,,,1,1,,1,,,,1,,1,1,1,,,,,,,
,,ArXiv,ErrorMap and ErrorAtlas: Charting the Failure Landscape of Large Language Models,ashury2026errormap,"S Ashury-Tahan, Y Mai, E Bandel, M Shmueli-Scheuer, L Choshen",2026,1,,,,,,,1,,1,,,1,,,,,,,1,,,,,,,
,,ArXiv,Robustness as an Emergent Property of Task Performance,ashury2026robustness,"S Ashury-Tahan, A Gera, E Bandel, M Shmueli-Scheuer, L Choshen",2026,1,,,,,,,1,1,,,,1,,,,1,,,1,,,,,,,
,,ArXiv,General Agent Evaluation,bandel2026generalagentevaluation,"E Bandel, A Yehudai, L Eden, Y Sagron, Y Perlitz, E Venezian, ...",2026,1,,,,,,1,1,,1,1,,1,,,1,1,1,,1,,,,,,,
,,ICML,Position: Agentic Systems Should be General,bandel2026agentic,"E Bandel, A Yehudai, A Lacoste, A Ghosh, G Neubig, M Mitchell, ...",2026,1,,,,,,,1,,1,1,1,1,1,,1,1,1,1,1,,1,,,,,
,,ICML,When AI Benchmarks Plateau: A Systematic Study of Benchmark Saturation,akhtar2026ai,"M Akhtar, A Reuel, P Soni, S Ahuja, PS Ammanamanchi, R Rawal, ...",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,arXiv,Do LLMs Benefit From Their Own Words?,huang2026llmsbenefitwords,"JY Huang, L Choshen, R Astudillo, T Broderick, J Andreas",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,arXiv,Resolving Interference (RI): Disentangling Models for Improved Model Merging,ramesh2026resolving,"P Ramesh, G Stoica, A Iyer, L Choshen, J Hoffman",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,arXiv,CUBE: A Standard for Unifying Agent Benchmarks,lacoste2026cube,"A Lacoste, N Gontier, O Shliazhko, A Jaiswal, K Sareen, S Nanisetty, ...",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACL,Mediocrity is the key for LLM as a Judge Anchor Selection,don2026mediocrity,"S Don-Yehiya, A Yehudai, L Choshen, O Abend",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ArXiv,Retrieval Augmented Generation Compositionality,,,2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ArXiv,EVALUATION CARDS: An Interpretive Layer for AI Evaluation Reporting,ghosh2026evaluationcardsinterpretivelayer,"A Ghosh, A Reuel, J Chim, WM Kennedy, S Yadav, J Mickel, Y Long, ...",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ArXiv,Every Eval Ever: A Unifying Schema and Community Repository for AI Evaluation Results,batzner2026every,"J Batzner, SH Nelaturu, A Kornilova, J Crall, T Cerruti, Y Long, Y Mai, ...",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ArXiv,"Instructions shape Production of Language, not Processing",waldis2026instructions,"A Waldis, L Choshen, Y Hou, Y Perlitz",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ArXiv,Growing Pains: Extensible and Efficient LLM Benchmarking Via Fixed Parameter Calibration,habba2026growing,"E Habba, I Itzhak, A Yehudai, Y Perlitz, E Bandel, M Shmueli-Scheuer, ...",2026,1,,,,,,,,,,,,,,,,,,,,,,,,,,
