Time of publish ID,"Warning, incomplete?",Venue,Name,Bib,Authors,year,NLP,Small Models,Debating,Recycling,Scaling Laws,Human-Model Interaction,Efficient Pretraining Research,Resources,The Science of Deep Learning,Methods,Dataset,Training,Evaluation,Shared-task\effort,Language&Cognition,Open,Meta-science,Enabling Low Budget Research,Efficiency,Paper,Workshop-paper,"Review, Survey and Position",Other,inter\eval,open,Allowing,Efficient Evaluation
,,SEM ,Semantics-aware Attention Improves Neural Machine Translation,DBLP:conf/starsem/SlobodkinCA22," Aviv Slobodkin, Leshem Choshen, Omri Abend",2023,1,,,,,,,,1,1,,1,,,1,,,,1,1,1,,,,,,
,,Arxiv* ,"Some Grammatical Errors are Frequent, Others are Important",DBLP:journals/corr/abs-2205-05730," Leshem Choshen, Ofir Shifman and Omri Abend",2023,1,,,,,,,1,1,1,1,,1,,1,1,1,,,1,,,,,,,
,,ACL2022 ,Cluster & Tune: Boost BERT Cold Start Performance in Topical Text Classification,DBLP:conf/acl/ShnarchGHDCAS22," Eyal Shnarch, Ariel Gera, Alon Halfon, Lena Dankin, Leshem Choshen, Ranit Aharonov, Noam Slonim",2023,1,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,
,,ACL2022* ,The Grammar-Learning Trajectories of Neural Language Models,DBLP:conf/acl/ChoshenHWA22," Leshem Choshen, Guy Hacohen, Daphna Weinshall, Omri Abend",2023,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,
,,EMNLP2022 ,Label Sleuth: From Unlabeled Text to a Classifier in a Few Hours,DBLP:conf/emnlp/ShnarchHGDKCCEZW22,"Eyal Shnarch, Alon Halfon, Ariel Gera, Marina Danilevsky, Yannis Katsis, Leshem Choshen, Martin Santillan Cooper, Dina Epelboim, Zheng Zhang, Dakuo Wang, Lucy Yip, Liat Ein-Dor, Lena Dankin, Ilya Koifman, Noam Slonim, Yoav Katz Shnayderman, Ranit Aharonov, Yunyao Li, Naftali Liberman, Philip Levin Slesarev, Gwilym Newton, Shila Ofek",2023,1,,,,,,,1,,1,,1,1,,,1,,1,1,1,,,,,,,
,,CoNLL2022* ,Enhancing the Transformer Decoder with Transition-based Syntax‏,DBLP:conf/conll/ChoshenA22," Leshem Choshen, Omri Abend",2023,1,,,,,,,1,1,1,,1,,,1,,,,1,1,,,,,,,
,,EMNLP2022 ,PreQuEL: Quality Estimation of Machine Translation Outputs in Advance,DBLP:conf/emnlp/Don-YehiyaCA22," Shachar Don-Yechia, Leshem Choshen, Omri Abend ",2023,1,,,,,1,,,1,1,,,1,,,,,,,1,,,,,,,
,,ACL2023 ,DisentQA: Disentangling Parametric and Contextual Knowledge with Counterfactual Question Answering,DBLP:conf/acl/NeemanAHCSA23," Ella Neeman, Roee Aharoni, Or Honovich, Leshem Choshen, Idan Szpektor, Omri Abend",2023,1,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,
,,ACL2023^ ,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,DBLP:conf/acl/Don-YehiyaVRSC23," Shachar Don-Yehia, Elad Venezian, Colin Raffel, Noam Slonim, Yoav Katz, Leshem Choshen ",2023,1,,,1,,,,,,1,,1,,,,1,1,1,1,1,,,,,,,
,,CoNLL2023,Findings of the {B}aby{LM} Challenge: Sample-Efficient Pretraining on Developmentally Plausible Corpora,warstadt2023findings," Alex Warstadt, Aaron Mueller, Leshem Choshen, Ethan Gotlieb Wilcox, Chengxu Zhuang, Adina Williams, Ryan Cotterell, Tal Linzen",2023,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,
,,EMNLP2023 ,Where to start? Analyzing the potential value of intermediate models,DBLP:conf/emnlp/ChoshenVDSK23," Leshem Choshen, Elad Venezian, Shachar Don-Yechia, Yoav Katz, Noam Slonim",2023,1,,,1,,,,1,1,1,1,1,1,,,1,1,1,1,1,,,,,,,
,,EMNLP2023 ,Knowledge is a Region in Weight Space for Fine-tuned Language Models,DBLP:conf/emnlp/GuetaVRSKC23,"Almog Gueta, Elad Venezian, Colin Raffel, Noam Slonim, Yoav Katz, Leshem Choshen",2023,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,
,,Neurips2023 ,TIES-Merging: Resolving Interference When Merging Models,DBLP:conf/nips/YadavTCRB23,"Prateek Yadav, Derek Tam, Leshem Choshen, Colin Raffel, Mohit Bansal",2023,1,,,1,,,,,1,1,,,,,,1,,1,1,1,,,,,,,
,,EMNLP2023 ,Human Learning by Model Feedback: The Dynamics of Iterative Prompting with Midjourney,DBLP:conf/emnlp/Don-YehiyaCA23," Shachar Don-Yechia, Leshem Choshen, Omri Abend ",2023,1,,,,,1,,1,,,1,,,,1,1,,,,1,,,,,,,
,,CONDA@ACL ,Data Contamination Report from the 2024 CONDA Shared Task,DBLP:journals/corr/abs-2407-21530, Numerous.,2024,1,,,,,,,1,1,,,,1,1,1,1,1,,,1,1,,,,,,
,,LREC-Coling 2024 ,Jump to Conclusions: Short-Cutting Transformers With Linear Transformations,DBLP:conf/coling/DinKCG24,"Alexander Yom Din, Taelin Karidi, Leshem Choshen, Mor Geva",2024,1,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,
,,LREC-Coling 2024 ,Navigating the Modern Evaluation Landscape: Considerations in Benchmarks and Frameworks for Large Language Models (LLMs),choshen2024navigating,"Choshen, Leshem and Gera, Ariel and Perlitz, Yotam and Shmueli-Scheuer, Michal and Stanovsky, Gabriel",2024,1,,,,,,,,,,,,1,1,,1,1,1,1,,,,,,,,
,,NAACL2024^ ,Efficient Benchmarking (of Language Models)‏,DBLP:conf/naacl/PerlitzBGAESSSC24," Yotam Perlitz, Elron Bandel, Ariel Gera, Ofir Arviv, Liat Ein-Dor, Eyal Shnarch, Noam Slonim, Michal Shmueli-Scheuer, Leshem Choshen",2024,1,,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,
,,ACL2024 ,"Deductive Closure Training of Language Models for Coherence, Accuracy, and Updatability",DBLP:conf/acl/AkyurekACWA24," Afra Feyza Akyürek, Ekin Akyürek, Leshem Choshen, Derry Wijaya, Jacob Andreas",2024,1,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,
,,CogSci2024 ,Insights from the first BabyLM Challenge: Training sample efficient language models on a developmentally plausible corpus,warstadt2024insights," Alex Warstadt, Aaron Mueller, Leshem Choshen, Ethan Gotlieb Wilcox, Chengxu Zhuang, Adina Williams, Ryan Cotterell, Tal Linzen",2024,1,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,
,,ICLR2024^ ,Genie: Achieving human parity in content grounded datasets generation,DBLP:conf/iclr/YehudaiCMAMSC24," Asaf Yehudai, Boaz Carmeli, Yosi Mass, Ofir Arviv, Nathaniel Mills, Assaf Toledo, Eyal Shnarch, Leshem Choshen",2024,1,,,,,,,,,1,1,1,,,,,,1,1,1,,,,,,,
,,ICML2024 ,Asymmetry in low rank adapters of foundation models,DBLP:conf/icml/ZhuGNBGCGY024,"Jiacheng Zhu, Kristjan Greenewald, Kimia Nadjahi, Haitz Sáez de Ocáriz Borde, Rickard Brüel Gabrielsson, Leshem Choshen, Marzyeh Ghassemi, Mikhail Yurochkin, Justin Solomon",2024,1,,,,,,,,1,1,,1,,,,,,,1,1,,,,,,,
,,ICML2024 ,tinyBenchmarks: evaluating LLMs with fewer examples,DBLP:conf/icml/PoloWCSXY24," Felipe Maia Polo, Lucas Weber, Leshem Choshen, Yuekai Sun, Gongjun Xu, Mikhail Yurochkin",2024,1,,,,,,,1,,1,,,1,,,1,,1,1,1,,,,,,,
,,TACL2024 ,Holmes: Benchmark the Linguistic Competence of Language Models,DBLP:journals/corr/abs-2404-18923," Andreas Waldis, Yotam Perlitz, Leshem Choshen, Yufang Hou, Iryna Gurevych",2024,1,,,,,,,1,1,,1,,1,,1,1,1,1,,1,,,,,,,
,,EMNLP 2024 Demo ,"Unitxt: Flexible, shareable and reusable data preparation and evaluation for generative ai",bandel2024unitxt," Elron Bandel, Yotam Perlitz, Elad Venezian, Roni FriedmanMelamed, Ofir Arviv, Matan Orbach, Shachar Don-Yehyia, Dafna Sheinwald, Ariel Gera, Leshem Choshen, Michal Shmueli-Scheuer, Yoav Katz",2024,1,,,,,,,1,,,1,,1,1,,1,,1,,1,,,,,,,
,,ACL 2024 ,Label-Efficient Model Selection for Text Generation,DBLP:conf/acl/Ashury-TahanGSC24," Shir Ashury-Tahan, Benjamin Sznajder, Leshem Choshen, Liat Ein",2024,1,,,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,,
