Title,Cited by,Year,Authors,Venue,Scholar ID
Babybabellm: A multilingual benchmark of developmentally plausible training data,9,2026,"J Jumelet, A Fourtassi, A Haga, B Bunzeck, B Shandilya, D Galvan-Sosa, ...","Proceedings of the 19th Conference of the European Chapter of the …, 2026",8b8IhUYAAAAJ:738O_yMBCRsC
Neurips 2023 llm efficiency fine-tuning competition,9,2025,"M Saroufim, Y Perlitz, L Choshen, L Antiga, G Bowyer, C Puhrsch, ...","arXiv preprint arXiv:2503.13507, 2025",8b8IhUYAAAAJ:1sJd4Hv_s6UC
Navigating the modern evaluation landscape: Considerations in benchmarks and frameworks for large language models (LLMs),8,2024,"L Choshen, A Gera, Y Perlitz, M Shmueli-Scheuer, G Stanovsky","Proceedings of the 2024 Joint International Conference on Computational …, 2024",8b8IhUYAAAAJ:ns9cj8rnVeAC
Cube: A standard for unifying agent benchmarks,7,2026,"A Lacoste, N Gontier, O Shliazhko, A Jaiswal, K Sareen, S Nanisetty, ...","arXiv preprint arXiv:2603.15798, 2026",8b8IhUYAAAAJ:olpn-zPbct0C
Enhancing the Transformer Decoder with Transition-based Syntax,7,2022,"L Choshen, O Abend","Proceedings of the 26th Conference on Computational Natural Language …, 2022",8b8IhUYAAAAJ:9ZlFYXVOiuMC
Comsum: Commit messages summarization and meaning preservation,7,2021,"L Choshen, I Amit","arXiv preprint arXiv:2108.10763, 2021",8b8IhUYAAAAJ:YOwf2qJgpHMC
Pretraining language models for diachronic linguistic change discovery,6,2026,"E Fittschen, SX Li, T Lippincott, L Choshen, C Messner","Findings of the Association for Computational Linguistics: EACL 2026, 4627-4642, 2026",8b8IhUYAAAAJ:nb7KW1ujOQ8C
Do LLMs Benefit From Their Own Words?,6,2026,"JY Huang, L Choshen, R Astudillo, T Broderick, J Andreas","arXiv preprint arXiv:2602.24287, 2026",8b8IhUYAAAAJ:BrmTIyaxlBUC
Position: Agentic systems should be general,6,2026,"E Bandel, A Yehudai, A Lacoste, A Ghosh, G Neubig, M Mitchell, ...","Forty-third International Conference on Machine Learning Position Paper Track, 2026",8b8IhUYAAAAJ:mvPsJ3kp5DgC
AI evals are becoming the new compute bottleneck,6,2026,"A Ghosh, Y Mai, G Channing, L Choshen","EvalEval Coalition Blog, April, 2026",8b8IhUYAAAAJ:ILKRHgRFtOwC
